"gene_symbols","lfc","WT_expression","KO_expression"
"Nat8",-0.0673645168771522,1.597245,2.641423
"Cct7",0.131252568610302,64.556901,56.625002
"Pradc1",0.0267193243935449,7.620091,6.921695
"Zfp638",-0.111845547068544,33.230068,38.500002
"Reg3g",0,0,0
"Fbxl14",0.165871734474145,20.005501,15.857937
"Prickle2",0.202293905239555,11.20155,8.444739
"Adamts9",-0.237925225024732,8.118741,11.824616
"Lrig1",0.0677316157284107,4.680604,4.110966
"1700003E16Rik",0.040244011779059,0.780357,0.562424
"Kbtbd8",-0.131695110668913,0.672124,1.2924
"Wdr54",-0.230432638234944,0,1.206611
"Ino80b",0.0550558788324462,8.998237,7.804293
"Wbp1",-0.0535532638763048,28.294737,31.881538
"Mogs",-0.283610356285271,10.153253,17.640479
"Mrpl53",0.0107513514000477,11.992042,11.894297
"M1ap",-0.146696002846049,0,0.293717
"Pole4",-0.121634289534553,13.045676,17.489076
"Tacr1",-0.0503354398648348,0,0.012655
"Mrpl19",-0.271537182312715,6.345913,11.41522
"Bmp10",-0.100655569513015,0,0.055869
"Arhgap25",-0.145450787572853,13.053975,17.165133
"Gkn3",0,0,0
"Gkn2",0,0,0
"Gkn1",0,0,0
"Aplf",0.250230330206623,5.342768,2.136291
"Gp9",0.140247709180946,4.360977,1.623912
"Rab43",-0.456348074359838,12.119054,23.411003
"Isy1",-0.328511209300888,4.886234,9.667839
"Cnbp",0.0346736291211673,147.219209,145.552678
"Copg1",0.042303918313932,27.111985,26.425496
"Tmf1",0.0676414844534641,20.760599,19.516034
"Hmces",0.030824117353319,8.763086,8.074935
"Uba3",0.363997394850193,26.869577,14.462265
"Rpn1",0.281955558262299,98.322415,75.032826
"Frmd4b",-0.294822003812889,16.008003,24.848675
"Foxp1",0.0412179845838292,58.496161,57.285542
"Gm20696",-0.602799425972181,0,3.758343
"Prok2",-0.128294926531119,0,0.32194
"Gxylt2",-0.00185503801833597,0.194223,0.202183
"Cntn3",-0.0503354398648348,0,0.012017
"Chl1",0.0384567250868919,0.36733,0.277521
"Ruvbl1",0.430006543622703,21.812562,7.161106
"Sec61a1",0.711643879341235,124.890738,61.7162
"Abtb1",-0.332637654840195,5.401016,13.581183
"Plxna1",-0.13155388351117,4.960051,6.213017
"Chchd6",0.0257058612701737,16.007838,15.309577
"Klf15",-0.415624346817783,4.288424,12.60665
"Aldh1l1",-0.315910869012979,42.483036,60.826727
"Slc41a3",0.0264675923050195,2.744898,2.520284
"Nup210",0.0675157977625123,28.757232,27.446234
"Cntn6",0,0,0
"Wnt7a",0,0,0
"Xpc",0.159470554831486,12.437052,9.695463
"Tmem43",-0.356345412622057,6.99694,14.674486
"Slc6a6",0.18660231467004,87.516242,75.426692
"Grip2",-0.165609688045265,0.289705,0.872454
"Sumf1",-0.143878200424183,13.386762,17.686399
"Itpr1",0.23737554376088,106.791452,88.792291
"Bhlhe40",-0.281453330520408,14.975375,23.582268
"Edem1",-0.0469400390230668,19.629474,21.285094
"Arl8b",0.0657672517384817,37.427903,35.30814
"Usp18",-0.151976375666209,5.583802,9.087253
"Slc6a13",0.0108951344683419,4.301189,4.245391
"Slc6a12",-0.135220951307051,2.591603,4.599164
"Ret",0.207900931055852,0.675423,0.123084
"A2m",-0.0711814520842839,0,0.027202
"Klrg1",-0.288687869922477,0,1.647368
"Mfap5",-0.0616465086964828,0,0.069505
"Gdf3",0.213323777651649,2.27354,0.516176
"Mlf2",-0.163759331887267,63.390538,79.285793
"Ptms",-0.0376602671017494,292.659996,310.865376
"Plxnd1",0.643344029183256,101.924216,59.047568
